519,Basketball is not an instrument,There's no relation between music and basketball.,The two clauses do not correlate. Basketball and music are seemingly two very different activities.
520,There's no need to wear raincoats on sunny days,"Raincoats are used on rainy days, not when it's sunny.","Raincoats are used on rainy days, to ward off rain."
521,The duty of a nurse is to take care of patients,Nurses do not teach.,Nurses have already been taught and are generally not teachers.
522,Nobody likes mean people,"If the grandmother is mean, she would be disliked.",Mean people are disliked.
523,Fighting does not enhance our friendship,Friends does mot fight so friendship cannot be developed by fighting.,Fighting does not lead to friendship.
524,an eraser is an implement used to erase something,a eraser can be used to write on paper,Eraser is used to erase the letters on paper.
525,A party is not a place to learn,Party is for enjoying we can't study thete,I study at the home
526,The temperature in Antarctica is very low,The south pole is very chil,The south pole is very cool
527,A car can't move forward without wheels,"An ordinary car requires wheels to move, and four of them for stability.",All functioning cars have wheels. Ordinary cars indeed have wheels.
528,Eyes are for seeing,Ears are for hearing and eyes are for seeing.,Ears are for hearing.
529,speaking Chinese can not improve your English speaking,"Chinese natives speak Chinese, not English.","Talking to Chinese native speakers would likely help with Cantonese, not English."
530,Larger words are easier to read,"Typically if something is bigger with print it is much easier to read, not harder.",I CANNOT READ THEM CLEARLY BECAUSE THE WORDS ARE BIG
531,sleeping is not able to build up your body,EXERCISE IS GOOD HEALTHY,We need to sleep to rest.
532,You cannot win the championship if you run too slowly,championship is given to the fast runner,"Winning means coming in first, which requires one to run fast, not slow."
533,Tragedy usually makes people cry,"Tragedy usually envokes sadness, grief, anger, etc.",Tragedy makes people sad.
534,if you like art you need to major in art,LIKE ART MEANS MAJORED IN ARTS,Art and mathematics are very different subjects with very little overlapping subject matter.
535,the Lamborghini is expensive,"A Lamborghini is one of the most expensive car brands, so a poor person could not afford one.","Lamborghini is very expensive, if you are poor you cannot afford to buy one."
536,Snakes have no wings,SNAKES ARE CANT ABLE TO FLY BECAUSE IT DOESN'T HAVE WINGS TO FLY,snakes does not have wings to fly
537,soil cannot provide wood fiber for paper,the paper is made from  tree,paper is made from plant or wood pulp and impossible to make out of dirt.
538,the ingredients of soap are not suitable for cleaning our hair,yes use shampu to clean our hair,we use shompoo to clean our hair
539,rabbits are vegetarian so that they do not eat the frog,"A rabbit is herbivore, they only eat plants.",Rabbits don't eat frogs.
540,a scarf is used in cold weather to keep warm,"A scarf insulates the neck during cold weather, so would cause a person to overheat in summer.",we wear not in summer
541,Even if a student does not pass the exam it can only be said that his grades are not good,a student not satsisfied the reseut,A student don't need die if he doesn't pass the exam
542,The Sahara is hot and there is no snow,of course because sahara is in dessert,Sahara is a desert and skiing is not possible.
543,It is illegal to smuggle drugs,Smuggling drugs will be commended,Smuggling is a crime which cannot be commended
544,The earlier he is born the older he is,"the firstborn is the oldest as they have been alive longest, and all the other children are younger as they are born after",The firstborn child is the oldest and subsequent children are younger.
545,Gold is very expensive,Gold is very expensive,gold are precious and costs more
546,Guns are not used to sew clothes,"a gun is not a suitable tool for sewing, you will need a sewing machine",A gun has no place in sewing.
547,Shoes are usually put on feet,Sometimes people dont put shoes on their hands,Shoes are worn on feet only.
548,Nearsightedness is the inability to see at a long distance,you can only see near you,of course because if tou are far sighted you cant see things near
549,Without food people can only live for a short time,People starve if they go without food for long periods of time.,"Without food, a person will starve, and starvation leads quickly to illness and death."
550,The stain can be removed by washing,AFTER WASHING EVERY PRODUCT MUST BE CLEAN INCLUDING CLOTHES,Dirt is removed after wash
551,You can't get over a broken leg without treatment,"A broken leg requires a doctor to perform surgery in order to repair the broken bone, and will not entirely self-heal.",WE BREAK OUR LEGS JUST WAITING FOR THEIR SELF-HEALING
552,Sitting for long periods may cause hemorrhoids,"To be healthy, a person needs exercise, so being sedentary is not a good thing.","Sedentary is often paired with laziness and it is nonbeneficial to be sedentary, especially for long periods of time."
553,Dogs do not usually bite their masters,Dog do not bite people they know.,"Dogs normally bite strangers, not acquaintances"
554,Ripe apples have a lot of sugar in them instead of capsaicin,apples are fruit and are cold,apples are not cooked on a tree
555,An ostrich cannot fly,some birds have no wings,"There are many species in the bird family that cannot fly, such as penguins."
556,Pillows can make people sleep more comfortably and healthy,People usually use pillows when they sleep,people use pillows to sleep
557,Tableware makes eating more convenient,People use silverware to eat.,"People usually used tableware when they eat, they do not usually eat with bare hands."
558,People usually wash and rinse in the bathroom,Most people eat lunch in the kitchen or the dining room.,"People eat in a lunchroom, not in a bathroom."
559,Toothpaste is specially used for brushing teeth,"Toothpaste is for cleaning teeth, while shampoo is used for washing hair.",People use shampoo for hair washing and toothpaste for teeth cleaning.
560,the moon just reflect the light of the sun,The sun is brighter than the moon.,The moon is brighter than the sun
561,Most chairs are smaller than people and lying on chairs may be dangerous,People usually lie on bed and not on chairs because its used to sit and not lie.,People normally sit on chairs.
562,Wardrobes usually can't shine,A wardrobe would not give off illuminating light.,"Most would use a light or a lamp to illuminate a room, not a wardrobe which does not light up."
563,Lipsticks are cosmetics and men usually don't wear makeup,Men usually does not  use lipstick,Most men generally don't use lipstick at all
564,Most vegetarians only eat vegetables and fruits,Vegetarians don't eat meat.,vegetarians don't eat meat
565,Chocolate is poisonous for dogs,Chocolate not for dogs.,chocolate is poisonous for dogs
566,A watch is a timing tool,"a watch tells us the time, thus why wouldn't we know the time through a watch?",WATCH SERVES TO KNOW THE HOUR
567,Watermelon peel is so hard that people usually can't bite it,The most popular part of the watermelon is the pink fruit,A watermelon peel is not edible for humans.
568,Some people are allergic to peanuts,except the people allergic to them,Peanuts not good to eat for everyone.
569,Jasmine usually has a strong fragrance,people are usually can smell the fragrance of jasmine,People usually can smell the fragrance of jasmine.
570,Cancer is hard to cure,"Many people with cancer die.,",Cancer can often be fatal.
571,the Drug is prohibited in most countries,Drugs can be illegal or prescription only.,Many drugs are illegal to take without a prescription
572,Hens only can lay eggs and eggs may become little chickens,chickens are hatched from eggs which are laid by hens,Hens lay eggs.
573,Rabbits usually have powerful legs and tortoises are slow,"Tortoises are notoriously slow animals, and rabbits are known for their speed.",A rabbit is a faster runner than a tortoise.
574,Doing homework is the basic responsibility of the student,A student won't understand a subject if he doesn't study it.,students are supposed to do homework
575,Most snakes bite human and some snakes are poisonous,Most people not like snakes,Most people are afraid for snakes.
576,Different people have different fingerprints,Fingerprints are unique to each individual; no two people have the same fingerprints.,No one has the same fingerprints as other person.
577,there are also female Marathoners,Any gender can be a marathoner.,anyone can be a marathoner regardless of sex or gender
578,A lie can sometimes break,lying can be easily found by others,Lying can be find by others.
579,Heart disease needs to be treated by a cardiothoracic doctor,Dermatologists cure skin ailments only.,"Dermatologists cure skin conditions, cardiologists cure heart conditions"
580,It is illegal to hurt someone at will,we are not supposed to hurt others,We can't hurt others at will
581,some Green oranges are very sour,"Some oranges, especially those that are not completely ripe, are sour instead of sweet.",Not every orange has a sweet flavor.
582,Toilets are used for excretion,"The toilet is used for eliminating human waste, not for eating.",NO EAT IN TOILET
583,A chair with three legs will not stand,A chair usually has four legs,A chair typically has four legs.
584,coffee keeps people awake,coffee keeps you awake as it has caffeine,"Coffee contains a stimulant, caffeine; it ""perks"" people up, not puts them to sleep"
585,The washing machine is used for washing clothes,WASHING MACHINE ARE NOT IN FOOD,"washing machines are for clothes, not food"
586,A hot dog is a kind of food instead of the animal,dogs are dogs,the dogs are so hot
587,There are only seven days in a week,Seven days in a week.,can we work eight days a week
588,After enough sleep we can be invigorated,"If you sleep badly, you feel bad",Poor sleep leads to low energy.
589,It usually takes a lot to get a Ph.D. qualification,"Getting a Ph.D, is a hard task, not an easy task.",Getting a ph.D is not a easy task.
590,The sickle is for cutting grass,wood is cut with a saw,A wood can't be cut with a sickle
591,Burning garbage produces many substances harmful to the environment,burning waste generates co2 and is bad for the climate,the smoke from burning the garbage will pollute the environment
592,At night the sun is on the other side of the earth,"The sun always shines, it is just not visible to us.",The sun never ceases to shine; it merely sets at night.
593,Diabetes can be aggravated by eating sweets,THE DIABETIC CANNOT EAT CANDY AT WILL,the Diabetic can't eat candy at will
594,walking is too slow for something urgent,People can use to vehicle to go to place.,"Other modes of transport are much faster than walking, so would be used for urgent travel"
595,Air conditioning requires electricity to operate,air conditioning needs electricity to run,An air conditioner is a machine which needs electricity.
596,Man is a social animal and needs friends,Most people rely on friends.,No man is an island.
597,A tree without its bark will die,Trees have bark,"Bark is the outermost layer of a tree, so you cannot have a tree naturally without bark"
598,the lines of leaves are totally random and different,identical leaves can's be found anywhere,"IN NATURE THERE ARE SEAMLESS, BUT NOT IDENTICAL LEAVES"
599,The sun will set at night,the sun will stay on day,The sun disappears during night time.
600,Mice are a kind of pest,Most people are afraid of mice.,mice carry disease and scare most people
601,driving without a driver's license is against the law,You must have a driving license to drive a car.,You can't drive on the highway without a driving license
602,The statue of liberty is in America,"The Statue of Liberty is located in New York. Also, the sentence is incorrectly capitalized; it's ""Statue of Liberty"".",The Statue of Liberty cannot be found in France; it stands in New York.
603,In cold weather you may be frozen to death without clothes,ANIMAL DON'T NEED TO WEAR CLOTHES,Being naked in public is not allowed in most societies
604,Most people's brains can't remember everything forever,Everyone forgets something at some point in their lives.,Most people forget things regularly
605,Girls generally prefer handsome boys,Good looking boys are more likely to find girlfriends.,Attractive boys are more likely to find girlfriends.
606,the school usually can't cure patients well,"A sick person is unable to concentrate at school, and may infect other children in class.",WHEN WE GET SICK WE GO TO HOSPITAL
607,The USB plate cannot directly play music,"Generally we use internet platforms, now.","To listen to a song, a person would require a speaker, not a USB plate."
608,The microscope's focal length is small,We can not  observe a star with a microscope,We use to see stars with telescope.
609,it is hard to fire with so much water,water is common in the sea,Fire won't burn on the water
610,Potato chips are commonly made from potatoes,Chips is not allergic.,Potato chips would be dangerous for someone with a potato allergy.
611,Mars lacks the resources of human existence,mars is very hotter than the earth,Their is still no evidence of life in Mars
612,A guitar voices by its string,A working guitar has strings.,"In order to produce sound, a guitar requires strings."
613,Water has no viscosity,You cannot glue things together with water,
614,Germinated sweet potato have poison,germinated potatoes are poisiones,Germinated potatoes are not edible.
615,Some flowers do not emit fragrance,All flowers have been  fragrance,Artificial flowers are not fragrance.
616,Pines do not fall in autumn,Evergreen trees do not lose leaves at all.,evergreen trees are green always
617,females generally pay more attention to outlook than males,"Beauty salons primarily give beauty treatments for women, so females will visit more often than males.",men do not care about their beauty
618,apples can make apple juice,only apples can be used for making apple juice,The world apple in apple juice shows its made of apples and not bananas.
619,The younger the person is the faster the heart beats,children's heart beats are faster than elders,the Heartbeat is slower in children than in adults normally
620,The baton is used to direct the orchestra,a baton is  not used for playing music,a baton is used for playing music
621,Pines have few flowers and no petals,Pine trees will not bloom,pine trees won't bloom
622,The refraction of light causes clouds to seem not transparent,"Clouds can either be white, gray or variations of either.",Clouds have color
623,there is no sunshine at night,"Blue sky is a phenomenon caused by the preferential scattering of blue and violet sunlight by Earth's atmosphere. ... However, on a night with bright moonlight, the sky does appear blue, although more subtly",the sky turns different colours in the evening due to sunset
624,the company spends money on my time,I go to work to earn money.,We go to work for earn money.
625,It is not necessary to cut too short hair,"If the hair is too short already, cutting it will only make it shorter","Haircuts shorten hair, not lengthen it"
626,noise can interfere with their thinking in a noisy environment,quiet helps people think properly,noisy environments make them tense
627,Tigers are carnivores and not tame,How can I reduce grazing pressure in protected areas of human dominated landscape,Tigers don't gaze
628,working without rest is tiring,We need to rest at last one day in a week.,Working all day is very not relaxing
629,a table is too hard that you can't fall asleep on it,What's the best sleeping pill for flying,A bed is a comfortable place to sleep.
630,a ship is always close to the sea and the airport is far from the sea,We can find a plan at the airport.,ships can be found only in seas.
631,Losers usually don't have any prizes,LOSERS PUT EFFORT FOR GETTING PRIZES,Winners are given prizes.
632,Too much smoking can lead to lung cancer,Science has proven that smoking is bad for your health.,Smoking is bad for your body.
633,The radio can't connect to the Internet,I  email will confirm my email through my radio,Email must be confirmed on a computer device.
634,We can access air on earth freely,the air is free and not stocked,Air has no capacity to hold a charge.
635,bikes were invented hundreds of years ago,I INVENTION IN NEW BIKE,The bike has been around for well over one hundred years.
636,We usually do not use water to write,There is ink in the pen so we can write,Water availability has nothing to do with being able to write.
637,Canada is located in North America,A EUROPEAN CULTURE IS TRADITIONAL,Canada is not in Europe.
638,You need to buy a ticket before you enter the museum,You need a ticket to enter the museum,"In order to gain entry to a museum, you usually require a ticket, so would buy one as the first thing you do."
639,Birth is the beginning,"Death is the end of life, not the start.",Death is the end of a person's conscience.
640,Apple is a kind of fruit,An apple is a fruit.,APPLE IS A FRUIT.AND IS NOT AN ANIMAL
641,the television is used to watch movies,"Television is a device used to entertain us with TV shows, Movies and songs.","Television is used to watch people, not contact them."
642,French fries are junk food,because the french fries is good for health  to eat,fresh fries are not in good healthy
643,People do not like ugly things,A PERSON WANTS TO BUY A BEAUTIFUL THINGS,"civilization as a whole does not purposely go out of their way to buy ugly things, it usually would be a gag or because they couldn't afford better."
644,A joke is for people's laugh,Jokes make people laugh.,A joke can only  make you laugh.
645,The ruler is not sharp enough to cut things,"A ruler has a blunt edge so it will not damage things it is measuring, and will not cut anything.",sometimes
646,Snow melts into water,"Snow is water, so it is wet.",The snow is cooled
647,The water in the desert has been steamed dry,THE DESERT DOES NOT CCONTAIN WATER,A desert is made of sand only.
648,It is impossible for human to reach the edge of the universe,the universe is very big,the universe is very large
649,Air can't power cars,"Car engines run off of gasoline, not air.",car engines need fuel to run
650,Time is different from time to time,time is constantly moving forward.,time is changed
651,The law prohibits cars from driving too slowly at high speed,because its broken,High way is used to drive the car fast.
652,Computers are bigger than wallets.,Wallets cannot be used to put computers.,the wallets are used for carry such personal items
653,Most universities need tuition fees to sustain themselves,college is does not free,College costs.
654,Guns are very dangerous tools,NOT PLAYED IN GUNS,Guns are dangerous weapon and cannot be handled by Children.
655,Human beings can turn sugar into fat,Thin people will not eat more.,"Eating too much causes more calories in the body than can be burned off, which results in fat."
656,Music usually has a pleasant melody,"This is a general statement that is false. Humankind, since the creation of organized sound (i.e. music), has always had a fond relationship with music.",Most people like music.
657,black music is likely to spoil,The color of milk is white and not black.,while  a moderate  intake  of black milk is healthy
658,Dinosaurs have been extinct already,Dinosaurs went extinct millions of years ago. It would be impossible for humans and dinosaurs to interact.,Dinosaurs did not exist alongside human beings.
659,Books are not tools for surfing the Internet,Books are made of paper and you need a screen for a web browser.,Books doesn't have network conection.
660,Erasers are usually used to erase handwriting,eraser is used to erase the writings,Eraser is not in writing material
661,Most toys are designed for children,Children like toys.,some adults are like by a toys
662,It is illegal to buy and sell human beings,Humans cannot be sold.,Humans cannot be purchased in a supermarket.
663,most viruses will make humans sick,viruses are mostly dangerous to humans,Humans usually like viruses
664,The law is for keeping from people doing something,Those who break the law will be punished.,Those who break laws commits an offence and are punished not rewarded.
665,little sleep can make people tired,PEOPLE MUST HAVE A SLEEP,Everybody needs to sleep or they will die.
666,Sunlight can pass through the windows,Window should be open at the day.,Windows invite in sunlight.
667,Wood houses are not strong enough,Wood is combustible and inflammable.,Wood is not that much strong
668,Seatbelts protect drivers and passengers,"People have the option and are encourage to wear searbelts when driving. In many American states, it is illegal to drive without a seatbelt.","People can, and normally do, wear seat belts when driving."
669,Sharks may eat humans,Sharks are dangerous towards people.,sharks are dangerous
670,alarm clocks make loud noises,Alarm clocks wake people up.,Alarm clocks usually help people wake up from sleep.
671,umbrellas are used to keep out the rain,BECAUSE RAIN IS COMING,People usually hold umbrellas on cloudy days
672,The police will catch thieves,Thieves will do wrong things They won't Happy of police,Thieves are criminal
673,Married people usually wear rings on their ring fingers,Married people wear ring on their ring finger.,Ring fingers are normally reserved for wedding bands.
674,Doctors can help treat patients,People went go to doctors when they get  not a sick,They need a doctor to get better.
675,Drinking sea water makes people thirstier,Seawater isn't advisable to be drank by humans.,PEOPLE ARE NOT DRINK IN SEAWATER
676,electric fans take away heat,electric fans are used to cool down so they would not be used by somebody who is cold,Fans are used when people are warm.
677,Cameras can help tourists take beautiful pictures,Tourists will  take cameras with them,Tourists normally take cameras on vacation.
678,Game addiction can affect students' study performance,Students focus will deplete if they will indulge in games.,a students was should be any time indulged in a games
679,Cats have no sensitive sense of smell,"Police use dogs to search for drugs, not cats",dogs are sniffers and they are used by police
680,Diamonds are the hardest thing,yes,Diamonds are able to cut glass.
681,Bosses are real leaders,Bosses give applicants jobs.,Boss only give jobs to applicants.
682,Sunscreen protects people from sunlight,People usually used  sunscreen at day and night,Sunscreen is used when the sun is out.
683,Gems are rare in nature,Gems are micro organisms and cannot be seen with the naked eyes.,GEMS ARE VERY RARE TO FIND
684,The stewardess is the flight service provider,Stewardess are there to assist you when you are on a flight.,The stewardess job is to help you along on the flight with whatever they can reasonably complete.
685,Salt dissolves in water,The salt is dissolved in the water.,Salt is dissolved in water and can't be seen.
686,Cats have a lovely appearance,Most people like cats.,"there are people who hate cats and people who love cats, you should not generalize"
687,wounds will leak Blood to heal themselves,We must see blood in human's wounds.,Human wounds have blood in them
688,People are usually covered by quilts while sleeping,Quilts are usually put in the living room or bedroom.,People usually put their quilts in their bedroom.
689,Sheep are herbivores,sheeps are herbivorous,Sheep do not eat meat.
690,Gasoline can power cars,Cars need gasoline to move,The car must burn gasoline to run.
691,Hospitals are places for treatment,Most people watch movies in a movie theater,Hospitals don't show movies to the public.
692,no one pays to be unhappy,spending money is to get desired things and be happy,People spend money on things that they like and that cannot be a source of sadness.
693,Willow is a kind of tree,willow is not a flower,Willow is my favorite flower
694,Carelessness in dangerous places can lead to accidents,IF THE AREA IS DANGEROUS MEANS WE  HAVE TO BE CAREFUL,THIS AREA IS DANGEROUS SO YOU HAVE TO BE CAREFUL
695,you can eat nothing if you close your mouth,the first thing you do when you eat something is not closing your mouth,We open our moth before puting food inside.
696,The age of thirty is a period of vigor,thirty years is not the retirement age.,Most people retire in their sixties.
697,There are no paper instruments in the world,Paper gets torn apart very easily.,"Paper tears, is weak, and cannot be used to make musical sounds."
698,the musical instrument will break If you play baseball with it,"Musical instruments can be used to play music, not baseball.",Musical instruments are for playing music not baseball.
699,it can be difficult for a giraffe to enter the room,Giraffes are outdoors.,"A giraffe would not be seen in a normal room, as they are too tall to fit in."
700,Tokyo is not a country,in the world large countries was tokyo,"Tokyo is a city, not a country."
701,You need to take off your shoes if you want to press the button with your toes,elevator buttons are pressed with fingers,"Elevator buttons are pressed with fingers, not toes"
702,Sleeping in a church is an insult to God,"Churches are mainly used for worship, not sleeping",People practice religion at church.
703,Sand is not a material for making paper,PAPER CANNOT BE MADE FROM SAND,Paper is usually made from trees
704,The mouth is for eating instead of seeing,to wee we should open our eyes,Open your eyes to see.
705,Umbrella does not work well on windy days,an umbrella is for sheltering you from the wind,AN UMBRELLA DID NOT SHELTERING THE WIND.
706,Death is painful to every one,Death is not a cause for celebration.,They can't celebrate since they are dead.
707,No one was eager to attend the funeral,"because funerals are very sad events, most people don't look forward to them",People do not look forward to death.
708,Tigers are dangerous,"Tigers eat humans. So, they can not pet generally.",Tigers are very dangerous to have as a pet.
709,Mammals are born from the womb,Mammals are vertebrate animals not a birds,"Mammals produce milk to feed their young, while birds do not."
710,bad luck makes people upset,people only wish for good luck,One would always wish to have good luck.
711,houses in rich area are usually expensive,A house in the rich area would be expensive.,"This sentence contradicts itself. If his house is located in a rich area, the home is likely to be expensive too."
712,it is impossible for a fish to fly,Is it possible for fish to fall from the sky,You are likely to find a stars around in the sky
713,you are more likely to have a rest when you are tired,If someone tired then he/she should take rest.,People relax when they feel tired.
714,your fingers are part of your hand,your fingers are nowhere near your face and attached directly to the hand,FINGERS ARE THE PART OF OUR HAND
715,the Vegetable salad has a lot of nutrition,Vegetables are not considered junk food,The Vegetable are healthy food.
716,A girl is a young female,girls are females,Girls are female.
717,going on a study will make you more tired,"because you have to concentrate, studying is often hard work and not a suitable recovery",BECAUSE I WANT SOME RESEARCH IN THE EARTH
718,People have a good memory when they are sober,He would forget what happened if he was intoxicated.,"Drunk people forget things, not sober people."
719,water will become steam when it evaporates,an cold water can become steam when it freezes,water cannot become steam when it freezes as steam is made when water becomes hot and boils and ice is made when water is cooled and frozen
720,the earth is a planet of the sun,sun is one of the planet of the earth,the sun is not satellite of the earth
721,It is hard for grain to grow on barren land,"Grain needs soil to grow, not barren land.",Nothing grows in barren land.
722,The equatorial areas is the hottest place on earth,The Equatorial areas are very cold,The equator is one of the hottest areas of the planet
723,we usually sleep on the bed,The desk is not for sleeping on,Desk si used for writing on
724,People who are full do not want to eat,People do not want to eat if they are full.,"If you are full, you have just eaten and do not need to eat more."
725,We should not disturb sleepers,voice should be enough  to wake  up most people,"If someone is sleeping, we should keep our voices down so as not to disturb them."
726,Rude neighbors can disrupt your life,people won't to have rude neighbors,"Rude neighbors cause stress, so people like to live near to polite folks."
727,People without wealth are called the poor,The poor have little money.,THE RICH HAVE A LOT OF MONEY
728,you are able to dress casually at home,Formal clothes are for special occasions and not for hanging out in your house.,"We should wear comfortable clothes at home, not formal."
729,People trust a credible government,"Credible has a denotation of trustworthiness, factual, and correctness. People would be more likely to trust credible governments.",It is better not to trust much in any government
730,We should be on guard against bad people,One does not normally trust bad people,people are bad so I can't trust them
731,Stupid people have poor comprehension,Intelligence is required to quickly understand problems.,It would take him longer to understand a situation
732,Few people go to unpopular restaurants,Crowded restaurant is very popular.,unpopular restaurant does not have crowd every day
733,The cows live in the cowshed instead of the house,Cows do not stay inside of houses.,Cows live outside.
734,An autobiography records a person's real life,autobiography is 'an account of a person's life written by that person' which is always real,Autobiography  is real
735,Gloves are worn on your hands,Gloves are worn on the hands.,Gloves are worn on hands
736,If you kill somebody you have to go to jail,Killing people is against the law.,The law forbids us killing people.
737,Foxes are usually very cunning,Foxes are not known to be faithful.,fox is not a faithfull
738,There is no alcohol in water,Water is different from drunken material,Drinking too much alcohol can make people drunk
739,people will feel uncomfortable in a dirty bathroom,people go to bathroom to clean themselves so a bathroom should be clean,Everyone is interested in clean bathroom
740,five years are short for humans' live circle,I am five years old so I am very old,if a child you think you are old
741,People don't do things that make them miserable,listening music creates a  pleasant  atmosphere.,People listen to music because it is enjoyable.
742,Crying usually expresses sadness,People cry when they are happy,"Crying is a sign of sadness, so people do not do it when they are happy."
743,We don't need to worry about too much about doing simple things,"Stress is normally caused by adversity and challenges, so an easy job is not stressful.",easy jobs are enjoyable
744,Left-handed people are better at using their left hand,Left-handed people do not use their right hands to write.,A left handed person would write with their left hand.
745,He would be more sad if his friends laughed at him,MY GOOD FRIEND JUST BROKEUP WITH HIS GIRL FRIEND AND I HAVE BEEN TRYING TO HELP HIM,no because you dont have rights
746,It is not natural to fall asleep in light,Turn off the lights before going to sleep.,Light will turn off to go to the bed.
747,We are punished for doing something wrong,"We will be punished for not following rules,not because we obeyed them.",If you are obeying the rules you shouldn't be punished
748,People should stick to the job at work,i will travel after complete my work,"bad English has caused this to be false, as we cannot assume what the work is."
749,The ruler is not sharp enough,Rulers are not used to cut meat.,they arrange the meeting
750,Fishermen make a life by fishing,"Fishermen depend on fishing, not farming.",I'm hungry. So I eat bread. Then I can buy a new car.
751,the risk brought by an earthquake is not negligible,Earthquakes pose a significant danger to life and property.,Earthquakes are dangerous and many people are injured or even die
752,Volcanic eruptions are dangerous,Volcanoes are dangerous and no one should be close to them.,We should stay a cautious distance away from volcanoes.
753,The quality of the environment is closely related to us,We live longer and better with a clean environment that has not been polluted.,Polluting the environment is a bad thing to do.
754,Couples will break up if they divorce,You will be single if you divorced your spouse.,getting divorced means to separate from your spouse
755,people need to appreciate artworks quietly,We need to keep quiet in the museum.,Noisy would be disruptive and not welcome in most mueseums.
756,restaurants are the place for eating,I went to the library to read books,I went to the library to borrow books
757,my mother attaches much importance to my study,"Playing cards is a leisure activity, and so a parent would want their child to avoid such things, and instead pay attention to their work in class.",My mother is told me cannot play cards in class
758,Alcohol is usually harmful to health,Drinking beer daily isn't a means of keeping healthy.,I DRINK BEER EVERY DAY TO KEEP ME A UNHEALTHY
759,Only those who pass the exam can get a certification,You need to pass the exam to get a certification.,Certificate will be given only if the exam is passed
760,friends do beneficial things for each other,abuse is never a good frienship,Good friends will not abuse.
761,Elephants are much bigger than people,Elephants are some of the largest animals that exist.,elephants are big animals
762,it is time to study when you are young,children should stay with books,CHILDREN NOT NEED IN STAY OF BOOKS
763,you will learn a lot when traveling the world,only gets wider from here,Will Inspire You to Explore the World.... can't wait to travel.
764,Playing football requires a lot of space,football could be played in a courtyard or ground,we should'nt play football in my bedroom
765,people want to eat delicious food,"A restaurant with perfect food would attract many guests, whereas a restaurant with bad food will attract few, if any.",Perfect food would attract many guests
766,cutting in line is a impolite behavior,cutting in line is rude and shouldn't be done in a queue,Cutting in line goes against social standards.
767,The murderer will be put in prison and spit,who in the world like a man who murder everyone will be scare of him and dont have any respect towards them,Murderers kill people and therefore are not respected by people as this is not acceptable behaviour in our society.
768,we cannot touch the time,Time is bounded.,Time is an abstract concept.
769,People will drown in the water,Only fishes can breathe in the water.,It is impossible for humans to breathe into the water.
770,The sloth cannot digest meat,Sloths do not eat meat.,Sloths do not eat meat.
771,no one like the hypocritical persons,"Being hypocritical is a bad trait, so is unlikely to make a person many friends.",Hypocrisy is not a desirable trait.
772,reading can help you broaden your horizons,It is good to read book daily,Reading books is a worthwhile pursuit.
773,there are usually no place in the desert for me to swim,Desert does not have water,The desert is dry and does not have water.
774,cities usually develop better,People in the countryside are usually poorer.,Where someone lives is not an indication of being poor.
775,Exercising is not sad,"People usually sweat when running, not shed tears.","people sweat while exercising, they don't cry"
776,Windows are usually used for ventilation and letting light in,The Most Common Ways Burglars Enter the Home,Windows are too small for people to enter houses.
777,noises wake people up,it is impossible to sleep in very noisy places,People usually sleep in quiet places.
778,water cannot provide air to humans,People don't live in water.,Water is not suitable for living in water.
779,Luxury goods usually have high prices,luxury goods may have good brands,Most people can't afford luxury goods
780,Aircraft can't fly out of the atmosphere,"Airplanes are not designed to exit the earth's atmosphere, and so won't go to the moon.",We can only go to the moon by rocket.
781,Sound propagation Needs Medium,We can't hear voices in the vacuum,Sound cannot move through vacuum.
782,banana peels can make people slip down,"Trash should be disposed of, a banana peel could be a hazard.","Banana peels are slippery, so would cause people to slip over if they are on the ground."
783,water can conduct electricity which will lead to dangers,It is not safe to use electrical appliances with wet hands.,Operating electrical appliances with wet hands is dangerous and potentially deadly.
784,Plants contain a lot of fiber which can be used to make paper,Paper is normally made from plant material.,Paper is made from trees.
785,Smoking damages humans' lungs,They are too young to smoke,teenagers should  not smoke
786,waiters serve customers at their tables,people usually ask a cheff to cook,"waiters serve food and look after guest experience, not cooking"
787,Bees need flowers to produce honey,Bees normally live around many flowers.,BEES FOOD STORE IN FLOWERS
788,Dreams are usually unrealistic,Dreams are different from reality.,Dreams is full of unreal thoughts
789,troops can protect the country,most countries require an army for national security,Most countries do  need troops
790,Playing the piano requires constant and skilled use of fingers,Pianists usually have flexible fingers,Pianists usually have't inflexible fingers
791,Gasoline burns easily,we are not allowed to smoke in gas stations,Smoking is prohibited in gas statioms
792,The future is usually unpredictable,No one knows the future.,Only God knows that will happen in the future
793,Mice can spread diseases and bite things,People like mice,"People implies everyone, not everyone does."
794,Wolves will eat shepherds' sheep,Shepherds usually like goat,Shepherds usually not like wolves
795,There is little water in the desert,Water is too rare in desert.,If you live in the desert you can not waste a single drop of water
796,Taking notes makes learning more efficient,generally speaking taking notes is good habit,taking notes is  good habit to remember everything
797,Materialists believe that there is no god in the world,Materialists do not believe in God.,Materialists believe in material
798,eating kelp with Onions may cause stones,Eating kelp with Onions is not good for your health,said who
799,ATM does not have the function of offering bank cards,"An ATM requires a bank card in order to be used, and does not give out bank cards.",We can use the ATM to get cash.
800,Software development requires machine support and human resources,Software development does cost money,Software development is a money depending one
801,Some boys like boys on the sexual aspect,Not all boys are heterosexual.,
802,generally more clothes will make us hotter,CLOTHES WEAR NO NOT WARMER,In the warm weather cotton clothes are comfortable.
