id,FalseSent,OptionA,OptionB,OptionC
515,Peace brings suffering,people can develop steadily without hurting others,War life is everyone's hope,I went through World War
516,parents hate their kids,most parents get along well with their kids,most parents get along well with each other,I love my parents
517,If you want to sleep you need to go to bathroom,the bathroom is cleaner than the bedroom,the bedroom is bigger than the bathroom,The bathroom is for bathing
518,a pig can lay eggs,Birds are not mammals,Pigs are mammals,Pigs are very smart
519,I love music so I play basketball every day,Basketball is not an instrument,playing basketball is not interesting,I hate watching basketball games
520,Raincoats are used on sunny days,The raincoat is too heavy,There's no need to wear raincoats on sunny days,I often play basketball on sunny days
521,nurses teach students,there are many nurses in the hospital,The duty of a nurse is to take care of patients,most nurses are women
522,My grandmother is so mean that everyone likes her,One of my teachers is mean to me,Nobody likes mean people,I am very friendly to my classmates
523,we develop our friendship by fighting with each other,Fighting will be criticized by teachers,I chat with my classmate in class,Fighting does not enhance our friendship
524,an eraser can be used to write on paper,I have two pens,I do not have an eraser,an eraser is an implement used to erase something
525,I study at the party,I sing very well,A party is not a place to learn,I hate studying
526,The south pole is very hot,The temperature in Antarctica is very low,I love winter,The equatorial temperature is higher than that of the Antarctic
527,Ordinary cars have no wheels,wheels are sold in car shops,My truck has six wheels,A car can't move forward without wheels
528,Ears are for seeing,I love listening to music,Eyes are for seeing,I am blind
529,I talk to Chinese native speakers to improve my English speaking,Chinese are very kind,China is located in the east of Asia,speaking Chinese can not improve your English speaking
530,The words are so big that I cannot read them clearly,My handwriting is poor,Larger words are easier to read,My house is very big
531,I sleep every day to exercise,I get up early every day,sleeping is not able to build up your body,I can run very fast
532,I ran so slowly that I won the championship,I walk so slowly that I am late for school,I run every day to exercise,You cannot win the championship if you run too slowly
533,Tragedy makes me laugh,Tragedy usually makes people cry,I love watching comedy and hate watching tragedy,Comedy is more interesting than tragedy
534,I like art so I majored in mathematics,my mother dislikes art,if you dislike art you are not supposed to major in art,if you like art you need to major in art
535,I am poor so I can buy a Lamborghini,the Lamborghini is expensive,There is a big gap between rich and poor in world,There are many billionaires in China
536,snakes are able to fly,Birds are able to fly,Snakes have no wings,My father is good at swimming
537,the paper is made from soil,the paper is white while the soil is brown,soil cannot provide wood fiber for paper,it is very complicated to produce the paper by using soil
538,we use soap to clean our hair,our hair needs our care,the ingredients of soap are not suitable for cleaning our hair,soap is slippery
539,a rabbit can eat a frog,some kinds of frogs are poisonous,rabbits are vegetarian so that they do not eat the frog,a frog is too big for a rabbit to eat
540,we often wear a scarf in the summer,a scarf is used in cold weather to keep warm,a scarf is too thick,summer is a season for short skirt
541,A student will die if he doesn't pass the exam,It is a great pleasure to get a score of one hundred,Most students dislike examinations,Even if a student does not pass the exam it can only be said that his grades are not good
542,it's possible to ski in sahara,The Sahara is hot and there is no snow,The Sahara has a lot of sand,The Sahara is not fit to live
543,Smuggling drugs will be commended,Drugs can be synthesized by chemical methods,It is illegal to smuggle drugs,Some drugs can be used as medicine
544,the firstborn child is youngest and other children are older,The earlier he is born the older he is,We were born with our eyes closed,Birth means a new birth into the world
545,It costs very little to buy gold,Gold is very expensive,Gold can be made into jewelry,The density of gold is very high
546,If you want to sew then you should get a gun,Guns can be used to kill people,Guns are not used to sew clothes,guns are hard to get
547,Sometimes people put shoes on their hands,hands are more flexible than feet,The average person needs to put on a pair of shoes,Shoes are usually put on feet
548,"When you are near-sighted, you can't see things near at hand",Nearsightedness is the inability to see at a long distance,if you get Nearsightedness you need glasses,Nearsightedness is normal in highly educated people
549,People can live without food for a long time,Searching for food is the instinct of animals,Without food people can only live for a short time,if we eat healthy food we will live longer
550,The clothes will be dirty after being washed,The stain can be removed by washing,Washing clothes usually involves washing powder,You may use a washing machine
551,we can just wait for their self-healing after we break our legs,You can't get over a broken leg without treatment,The broken leg is very painful,We all hope to have a pair of healthy legs
552,Being sedentary is a good thing,When we use the computer we will usually sit down,We wanted to sit down after standing for a long time,Sitting for long periods may cause hemorrhoids
553,a Dog usually bite acquaintances when it sees them,Dogs do not usually bite their masters,Dogs are human's friends,dogs are good at biting
554,Ripe apples are hot,Apples grow on trees,Ripe apples have a lot of moisture in them,Ripe apples have a lot of sugar in them instead of capsaicin
555,All the birds can fly,Most birds have wings,Birds like to eat worms,An ostrich cannot fly
556,People usually don't use pillows when they sleep,People can sleep without pillows,Pillows can make people sleep more comfortably and healthy,Pillows are usually soft
557,People usually don't use tableware when they eat,Tableware makes eating more convenient,Tableware is not a necessity for eating,Chopsticks are a kind of tableware
558,people eat their lunch in the bathroom,people can eat lunch in restaurants,People usually wash and rinse in the bathroom,the space of the bathroom is usually small
559,People usually wash their hair with toothpaste,People can wash their hair after brushing teeth,Toothpaste is usually white,Toothpaste is specially used for brushing teeth
560,The moon is brighter than the sun,the moon just reflect the light of the sun,The sun is bigger than the moon,The sun is hotter than the moon
561,People usually lie on chairs,Chairs usually have many legs,Most chairs are made of wood,Most chairs are smaller than people and lying on chairs may be dangerous
562,I opened the wardrobe to illuminate the room,Wardrobes usually can't shine,Wardrobe can be used to preserve clothes,People usually put a wardrobe in their room
563,Men usually use lipstick,Lipsticks are cosmetics and men usually don't wear makeup,Lipstick can make people look better,Lipsticks are usually colorful
564,Vegetarian usually like eating meat,Meat is obtained by killing animals,Most vegetarians only eat vegetables and fruits,Meat can provide energy for people
565,Dogs can eat chocolate,Chocolate is poisonous for dogs,people can eat chocolate,Dogs can't eat stones
566,We can't know the time through the watch,Most watches have a dial,people may know the wrong time by their watch,A watch is a timing tool
567,People usually eat the peel of the watermelon,Watermelons are usually spherical,Watermelon peel is usually green,Watermelon peel is so hard that people usually can't bite it
568,Everyone can eat peanuts,Peanut is a kind of nut,Human teeth are harder than peanuts,Some people are allergic to peanuts
569,People usually can't smell the fragrance of jasmine,Some flowers are fragrant,Jasmine has white flowers,Jasmine usually has a strong fragrance
570,Only a few people with cancer die,Older people are more susceptible to cancer,No one wants cancer,Cancer is hard to cure
571,People can take drugs at will,the Drug is prohibited in most countries,Some drugs can be used in hospitals,Some drugs excite people
572,Hens can give birth to chickens directly,Hens only can lay eggs and eggs may become little chickens,cocks can't give birth to chickens,women can give birth to human babies
573,The tortoise usually runs faster than the rabbit,Rabbits usually have powerful legs and tortoises are slow,The rabbit has four legs,The tortoise lives in the water
574,Students shouldn't do homework,Doing homework is the basic responsibility of the student,Students should go to bed early,Homework is arranged by teachers
575,Most people like snakes,Snakes have no feet but humans do,People can eat snakes,Most snakes bite human and some snakes are poisonous
576,I have the same fingerprints as him,Different people have different fingerprints,The fingerprints of the same person are different,the Fingerprint is one of the characteristics of human beings
577,only the male can be a Marathoner,Marathoners are generally strong,there are many people participating the marathon,there are also female Marathoners
578,People can't find others lying,Lies can sometimes be kind,A lie can sometimes break,a lie can't be a good thing anytime
579,A dermatologist can cure heart disease,Heart disease is usually a big threat,Heart disease needs to be treated by a cardiothoracic doctor,if you Have heart disease you should go to a hospital as soon as possible
580,We can hurt others at will,When we are hurt by others we should go to the police,We don't want to be hurt,It is illegal to hurt someone at will
581,All oranges are sweet,Orange contains sugar,sweet oranges are usually yellow in appearance,some Green oranges are very sour
582,People often eat in the toilet,the toilet stinks,Toilets are used for excretion,Sometimes it's hard to find a toilet
583,A chair usually has three legs,Chairs are for sitting,A chair with three legs will not stand,Some chairs are very soft
584,Many people drink coffee to sleep,Coffee is a drink made from substances extracted from coffee berries,Coffee is so bitter that it keeps people from sleeping,coffee keeps people awake
585,We put food in the washing machine,In life the washing machine brings us a lot of conveniences,The washing machine needs electricity to operate,The washing machine is used for washing clothes
586,Hot dogs are dogs,Some people like hot dogs very much,A hot dog is a kind of food instead of the animal,Dogs like to eat hot dogs
587,We can work eight days a week,A normal week has two days off,There are only seven days in a week,People usually work five days a week
588,Poor sleep can lead to high energy levels,Sleep is necessary for the human being,After enough sleep we can be invigorated,People spend a lot of their lives sleeping
589,Getting a Ph.D. is an easy task,PhDs are usually talented people,A doctor's degree is the highest degree,It usually takes a lot to get a Ph.D. qualification
590,I take a sickle to cut wood,The sickle is generally made of iron,The sickle is for cutting grass,A sickle is generally sharp
591,Burning garbage makes the environment better,Protecting the environment is an important thing,Burning garbage produces many substances harmful to the environment,For the environment of the earth we must stop burning garbage
592,The sun ceases to shine at night,The sun has ultraviolet rays,The sun provides the earth with a lot of energy,At night the sun is on the other side of the earth
593,the Diabetic can eat candy at will,Nowadays diabetes is still a difficult disease to cure,Candy is sweet,Diabetes can be aggravated by eating sweets
594,"If people have something urgent to go to a place, they usually walk",walking is too slow for something urgent,people don't have four legs,walking is free of charge
595,You can use the air conditioner without electricity,An air conditioner can be used for cooling or heating,The air conditioner can be cheap,Air conditioning requires electricity to operate
596,Most people don't need friends,Even best friends will betray you sometimes,Friends can sometimes help you a lot,Man is a social animal and needs friends
597,Trees can have no bark,The bark is rough,Some bark can be used as a precious medicine,A tree without its bark will die
598,You can find two identical leaves,Leaves provide nutrients to plants through photosynthesis by sunlight,the lines of leaves are totally random and different,Leaves are usually green in spring
599,the sun will stay on all day,The sun will set at night,There are twenty-four hours a day,You can do many things in a day
600,Most people like mice,Mice like to dig holes,Mice have a long tail,Mice are a kind of pest
601,You can drive on the highway without a driving license,driving without a driver's license is against the law,Driving skills are very important in today's society,On the highway the car runs fast so we have to drive carefully
602,You can find the statue of liberty in France,The statue of liberty is very big,France is called the capital of romance,The statue of liberty is in America
603,People don't need to wear clothes,Clothing plays a lot of decorative roles and we can buy a variety of styles of clothes,In cold weather you may be frozen to death without clothes,Clothes have more and more styles
604,Most people don't forget things anytime,Most people's brains can't remember everything forever,Sometimes it's good to forget,Forgetting may mean missing out on something important
605,Ugly boys are more likely to find girlfriends,Sometimes a beauty is not charming,Girls generally prefer handsome boys,A girlfriend may be a future wife
606,When we get sick we go to school,the school is responsible for the safety of food,We can learn a lot when we go to school,the school usually can't cure patients well
607,"When we want to listen to the song, we can use a USB plate",The USB plate is cheap now,The USB plate is used to store information,The USB plate cannot directly play music
608,We can observe a star with a microscope,The microscope's focal length is small,Microscopes are too small,The microscope is generally inconvenient
609,Fire is common in the sea,There are all kinds of fish and plants in the sea,it is hard to fire with so much water,There is a lot of resources in the sea
610,People who are allergic to potatoes can eat chips,Potato chips are usually Fried foods,Potato chips are junk food so eating them is not recommended,Potato chips are commonly made from potatoes
611,Mars is suitable for human survival,Mars is smaller than the earth,The United States has explored Mars in recent times,Mars lacks the resources of human existence
612,A working guitar can have no strings,a Guitar can play wonderful music,A guitar voices by its string,A guitar can be carried on your back
613,"When something breaks, we can glue them with water",Water has no viscosity,When something breaks we might replace it,You may be scolded for breaking things
614,Germinated sweet potatoes can be eaten,sweet potatoes don't look good,"Sweet potatoes are usually very sweet, some people like it very much",Germinated sweet potato have poison
615,All flowers have fragrance,Ordinary flowers are more fragile,Some flowers do not emit fragrance,Generally speaking the fragrance is more attractive
616,All trees lose their leaves in autumn.,The weather is usually better in autumn.,Pines do not fall in autumn,The sky is higher in autumn.
617,males are found at beauty salons more often than females,Men are more likely to play games than women,females generally pay more attention to outlook than males,females often go shopping
618,apple juice is made of bananas,bananas are delicious,Apples are delicious and nutritious fruits,apples can make apple juice
619,the Heartbeat is slower in children than in adults normally,Every beat of the heart takes about one second,The younger the person is the faster the heart beats,"Babies jump one hundred and eighty times a minute, juveniles ninety times a minute, and adults about seventy times"
620,a baton is used for playing music,The baton is used to direct the orchestra,the baton is made of wood,there is always a Conductor in an Ordinary band to command band
621,You can see the pine trees blooming,Pines have few flowers and no petals,Pines are evergreen all year round,Pine trees are useful for wood and other purposes
622,Clouds have no color,The refraction of light causes clouds to seem not transparent,Some clouds are beautiful and have many shapes,In cloudy weather sometimes we can't see a single cloud in the sky
623,the sky is blue in the evening,the ocean is blue in the morning sometimes,the sky is blue in the morning sometimes,there is no sunshine at night
624,I go to work to earn time,International companies will spend your more time,I have a lot of time,the company spends money on my time
625,My hair is too short so I need a haircut,my hair is pretty short,It is not necessary to cut too short hair,some people are good for long hair
626,People think more efficiently in noisy environments,I do my homework more efficiently at home,I am used to doing my homework in quiet evenings,noise can interfere with their thinking in a noisy environment
627,I'm grazing tigers,Tigers are carnivores and not tame,Tigers can not disgust grasses,Tigers are very dangerous
628,Working all day is very relaxing,working without rest is tiring,Doing homework all day is very tiring,Playing computer games is a good way to relax
629,A table is a comfortable place to sleep,there are 5 beds in my house,there is a table next to my bed,a table is too hard that you can't fall asleep on it
630,Something you find at the airport is a ship,a ship is always close to the sea and the airport is far from the sea,The chances of seeing an airplane at the parking lot are low,The chances of seeing a ship at the Parking lot are low
631,losers can get prizes,No one can be a perpetual loser,You take the first place and you're the winner,Losers usually don't have any prizes
632,smoking is good,My father only smokes good cigarettes,cigarettes are expensive,Too much smoking can lead to lung cancer
633,I will confirm my email through my radio,I love playing computer games,Computers are more expensive than radios,The radio can't connect to the Internet
634,air is charged,Electricity is charged,Every day in hawaii the air is fresh,We can access air on earth freely
635,the bike is a new invention,bikes were invented hundreds of years ago,Every day new things are invented,my bike is very old
636,There is water in the pen so we can write,the Ink contains water,We usually do not use water to write,Water is an important element of the human body
637,I like European culture because I traveled to Canada last year,London is in the south of England,Canada is to the north of the United States,Canada is located in North America
638,The last thing you do when you visit a museum is buying a ticket,I was the last one to enter the museum,You need to buy a ticket before you enter the museum,I was the first one to enter the museum
639,many people can feel that death is the start of life,some people may expect death,death is a necessary state of life,Birth is the beginning
640,An apple is an animal,I eat an apple every day,Apple is a kind of fruit,Pigs are very smart
641,television is a device you use to contact people,the television is used to watch movies,Every family has a television,television is very useful
642,you would buy French fries because they are healthy for you to eat,I like eating fresh fruits,I don't like French fries,French fries are junk food
643,a person wants to buy ugly things,Nice clothes will cost more,My mother bought me some nice clothes,People do not like ugly things
644,a joke can make you cry,I like all kinds of jokes,A joke is for people's laugh,I can remember the funny jokes my mother told
645,a ruler can be used to cut things,The ruler is not sharp enough to cut things,There are several rulers on my desk,The ruler is a kind of stationery
646,The snow is dry,I do not like wet weather very much,It is dry these days,Snow melts into water
647,The desert is full of water,The desert is deserted,The water in the desert has been steamed dry,the hump is full of water
648,the universe is very small,The earth is very large,The universe is still unknown to humans,It is impossible for human to reach the edge of the universe
649,car engines can use air,I hope I can breathe fresh air every day,Air can't power cars,air is a kind of renewable resource
650,Time is static,This car is stationary,My appearance has been changing,Time is different from time to time
651,The car is driving slowly on the highway,There are so many cars on the highway that we have to be careful,I drive very slowly,The law prohibits cars from driving too slowly at high speed
652,Wallets can be used to put computers.,Computers are bigger than wallets.,I usually use my computer to watch films.,It costs a lot to buy a computer.
653,College is usually free,Most universities need tuition fees to sustain themselves,Those with high grades can go to college,There will be scholarships in universities
654,Children can play with guns,Guns can be used to hunt,Some soldiers can use guns,Guns are very dangerous tools
655,Eating too much often makes people thin,Fat people like to eat,Human beings can turn sugar into fat,little exercise makes people fat
656,Music is usually hated by people,Some people can create music,Some music relaxes people,Music usually has a pleasant melody
657,People usually drink black milk,Drinking milk is good for the human body,Milk comes from cows,black music is likely to spoil
658,We can see dinosaurs playing with people,Dinosaurs have been extinct already,Dinosaurs may eat people,Most dinosaurs are stronger than humans
659,We can visit the website through books,Books are not tools for surfing the Internet,We can look up information through books,We can visit the website through smart phones
660,We can write on paper with an eraser,People can use erasers to help correct the wrong words,Erasers are usually used to erase handwriting,Erasers are usually made of rubber
661,Adults usually like toys,Most toys are cute,Adults have more money to buy toys,Most toys are designed for children
662,We can buy human in the supermarket,We can buy a lot of things in the supermarket,It is illegal to buy and sell human beings,the Supermarket can make people's life more convenient
663,Humans usually like viruses,Some viruses are good for humans,Most viruses are very small and hard to see,most viruses will make humans sick
664,Those who break the law will be rewarded,people helping to catch the one who breaks the law will be rewarded,Law is stipulated by human beings,The law is for keeping from people doing something
665,people usually don't need to sleep,little sleep can make people tired,People can stay up late sometimes,People usually sleep at night
666,A room with windows is usually dark at day,Basements usually have no windows and are dark,People usually like rooms with windows,Sunlight can pass through the windows
667,Most modern houses are made of wood,Ancient houses were mostly made of wood,Wood houses are not strong enough,Most wood has a special odor
668,People can't wear seatbelts when driving,You don't need to wear a seat belt when riding a bicycle,Seatbelts protect drivers and passengers,Most cars have seat belts
669,People usually like sharks,Sharks usually appear in the sea,Sharks are better at swimming than humans,Sharks may eat humans
670,Alarm clocks usually help people fall asleep,Some people do not have alarm clocks,An alarm clock can remind people of the time,alarm clocks make loud noises
671,People usually hold umbrellas on cloudy days,People can use raincoats to keep out the rain,Most umbrellas are made of waterproof cloth,umbrellas are used to keep out the rain
672,Thieves are glad of seeing the police,the police are glad to see thieves,Thieves are disgusted by most people,The police will catch thieves
673,"He wore a ring on his ring finger, but he was single",People can use rings to commemorate some meaningful things,Most rings are made of metal and usually very expensive,Married people usually wear rings on their ring fingers
674,People won't go to doctors when they get sick,Doctors can help treat patients,People suffer when they are ill,Doctors may get sick sometimes
675,People can drink seawater when they are thirsty,The sea water is salty and tastes not good,Drinking sea water makes people thirstier,People can't drink all the sea water
676,People use electric fans when they are cold,Electric fans usually need electricity to run,electric fans take away heat,The speed of the electric fan is very fast
677,Tourists will not take cameras with them,It usually takes a lot of money to buy a camera,Cameras can help tourists take beautiful pictures,Most cameras take better pictures than cell phones
678,Students should be indulged in games,Game addiction can affect students' study performance,Most games are fun but they cost money,Some students like games but don't be indulged in them
679,cats can help police search for drugs,Cats are flexible and can climb trees,Cats have no sensitive sense of smell,Cats can catch mice but dogs can't
680,Diamonds can't cut glass,Diamonds and glass look very similar,Diamonds are usually more expensive than glass,Diamonds are the hardest thing
681,applicants can give their bosses jobs,Some applicants find it difficult to find a job,Bosses are real leaders,Most bosses have more money than their employees
682,People usually use sunscreen at night,Sunscreen is a kind of cosmetic,Sunscreen is usually a white liquid,Sunscreen protects people from sunlight
683,It's easy for people to find gems,Most gems are very beautiful and expensive,Gems can be made into jewelry,Gems are rare in nature
684,You can't ask the stewardess for help while flying,The stewardess is the flight service provider,Flight attendants are usually well trained and have good manners,There are usually more passengers on planes than stewardesses
685,We can see salt in water,Salt is usually white particles,Salt dissolves in water,We can get salt from seawater
686,Most people hate cats,Cats have a lovely appearance,Cats love eating fish and mice,People can treat cats as pets
687,we cannot see blood in human's wounds,wounds will leak Blood to heal themselves,human's blood usually has a red color,a person who lose too much blood may die
688,People usually put their quilts in the kitchen,People can find pots in the kitchen,People are usually covered by quilts while sleeping,Quilts are usually made of cloth or satin with cotton or silk inside
689,sheepherders usually feed sheep with meat,Sheep are herbivores,some sheepherder like eating mutton,Sheep are raised in many countries for their meat or wool
690,People shouldn't add gasoline to cars,Gasoline is obtained from underground,Gasoline can power cars,the price of gasoline is rising more and more fast
691,People usually watch movies in hospitals,People can watch movies at home,Hospitals are places for treatment,There are usually many patients in hospitals
692,spending money is to get sadness,This beautiful picture reminds me of my sad memory,Everyone wants to live happily,no one pays to be unhappy
693,Willow is my favorite flower,there are a lot of poems of the willow,Willow is a kind of tree,The willows are very beautiful for its leaves
694,This area is dangerous so you have to be careless,Carelessness in dangerous places can lead to accidents,I do my homework very carefully every day,if you are always careless you will fail forever
695,the first thing you do when you eat something is closing your mouth,The shops in the street are closed,the first thing I do when I arrive home is open my computer,you can eat nothing if you close your mouth
696,He is thirty years old so it is time for him to retire,A friend of mine died at the age of thirty,The age of thirty is a period of vigor,My grandfather is seventy years old
697,paper can be used to make musical instruments,wood can be used to make musical instruments,Books are made of paper,There are no paper instruments in the world
698,musical instruments can be used to play baseball,the musical instrument will break If you play baseball with it,I like the atmosphere of the concert very much,I hate playing baseball and I think highly of my musical instruments
699,What you see in the room is a giraffe,it can be difficult for a giraffe to enter the room,giraffes are not cute,I was hurt by a giraffe so I keep away from the giraffes
700,Tokyo is one of the largest countries in the world,Tokyo is beautiful,China is much bigger than Japan,Tokyo is not a country
701,We usually press the button of elevators with our toes,You need to take off your shoes if you want to press the button with your toes,This button is badly designed,This elevator has twenty buttons to press
702,A church is a place where people sleep,My mother sleeps every day,praying is so boring so people fall asleep in the church,Sleeping in a church is an insult to God
703,paper can be made from sand,wood is not a material for making glass,glass can be made from sand,Sand is not a material for making paper
704,If you want to see then you should open your mouth,Each of us has two eyes,The mouth is for eating instead of seeing,Your eyes look good which really attract me deeply
705,an umbrella is for sheltering you from the wind,It winded heavily this morning,Umbrella does not work well on windy days,you need to wear more clothes when the wind is strong
706,People celebrate on the day of death,Death is painful to every one,the death will make total income lower,the funeral wastes our time
707,most people look forward to a funeral someday,I attend several funerals every year and I'm tired at it,No one was eager to attend the funeral,I was sad at my grandmother's funeral
708,Tigers are very common pets,tigers run so fast that people can't catch up them,I saw a tiger in the zoo,Tigers are dangerous
709,birds are mammals,There are many different kinds of birds,Mammals are born from the womb,birds are stupid
710,I wish I had bad luck,I am lucky enough to pass the exam,No one can curse his bad luck,bad luck makes people upset
711,His house is in the rich area so it is very cheap,Houses in the suburbs are very cheap and I think it is worth buying,houses in rich area are usually expensive,I like expensive houses
712,You are likely to find a fish around in the sky,There are many birds in the sky,it is impossible for a fish to fly,The river in tokyo is very clear
713,You would go for a run because you feel tired,I stay up late last night so I am very tired now and I'm anxious for my exam,you are more likely to have a rest when you are tired,run is a kind of the exercise
714,your fingers are part of your face,Normal people have ten fingers,your fingers are part of your hand,the pianist's are very flexible and beautiful
715,the Vegetable salad is junk food,the Vegetable salad has a lot of nutrition,I like French fries very much,Vegetables are very expensive in Korea and Japan because of their geographical position
716,A girl is a male,A girl is a young female,Our class is full of girls and it makes me upset,Girls are smarter than boys
717,You would go on a study because you need a break,Our company organizes holidays every year,going on a study will make you more tired,Working day and night is too tiring for common people
718,He was sober yesterday so he forgot what had happened,People have a good memory when they are sober,People will think about things more deeply when they are sober,A cup of coffee sobers one up
719,water can become steam when it freezes,the density of ice is smaller than that of water,water will become steam when it evaporates,Steam blurred my vision so I could not see the picture clearly
720,the sun is a satellite of the earth,The earth is the only home of our mankind,the earth is a planet of the sun,The earth is far from the sun
721,The land is very barren so the grain grows very well,the district is fertile of wheat,It is hard for grain to grow on barren land,It is hard for me to plane grain without any help
722,The Equatorial areas are very cold,The vegetation on the equatorial areas is very rich,The equatorial areas is the hottest place on earth,It is very cold this winter
723,The desk is for sleeping on,my desk is very comfortable for me,we usually sleep on the bed,I have been working all day
724,I am full so I want to eat right away,people who are full are tired with eating delicious food,People who are full do not want to eat,The refrigerator is full of food
725,Somebody is sleeping so we should keep voice up,keeping voice up when chatting is tiring,We should not disturb sleepers,We should keep good sleeping posture
726,people want to have rude neighbors,girls like rude boys,Our teacher is very kind to us all the time,Rude neighbors can disrupt your life
727,the poor have a lot of money,The poor and the rich are equal,We should not discriminate against the poor,People without wealth are called the poor
728,We should wear formal clothes at home,I am dressed formally today,you are able to dress casually at home,I wore too many clothes in the company yesterday
729,Our government is very credible so we distrust it very much,We should believe in truth,People trust a credible government,our government Serves the People well
730,These people are bad for me so I can trust him,My grandmother has always been very kind to me,We should be on guard against bad people,the Mathematics teacher is not kind to me
731,He was so stupid that he quickly understood the nature of the problem,Stupid people have poor comprehension,My students are very smart,It took him a long time to figure out the truth of the matter
732,This restaurant is so unpopular that it is crowded every day,Michelin restaurant is very popular,The fruit salad in that restaurant is very popular,Few people go to unpopular restaurants
733,You are likely to find a cow around in any room of the house,The cows live in the cowshed instead of the house,You will probably find a light in any room of the house,cows eat grasses
734,Autobiography is not real,The Autobiography is so wonderful that I read it day and night,An autobiography records a person's real life,Autobiographies can sometimes be boring
735,Gloves can protect the head,My gloves are so ugly that I don't want to wear them,Gloves are worn on your hands,My mother bought me a hat yesterday
736,The law allows us to kill people,We can't break the law,we are not allowed to play football in the classroom,If you kill somebody you have to go to jail
737,A fox is a faithful companion,foxes run slowly,Foxes are usually very cunning,My mother had three foxes a few years ago
738,Drinking too much water can make people drunk,we need to drink water every day,There is no alcohol in water,I never drink
739,people want a dirty bathroom,Our bathroom is big and clean,people will feel uncomfortable in a dirty bathroom,I take a bath in the bathroom every day to clean the dirt of my body
740,I am five years old so I am very old,five years are short for humans' live circle,I may die when I'm six years old by an accident,My child is five years old
741,You would listen to music because it is torturing,I listen to English songs every day to improve my listening,People don't do things that make them miserable,I like listening to classical music
742,People cry when they are happy,Babies cry all the time when they are born,I dislike girls who love to cry,Crying usually expresses sadness
743,A easy job is stressful,We don't need to worry about too much about doing simple things,My mother works late every night so she is really stressed out,it is not easy to find a good job in Canada these days
744,I am a left-handed person so I write with my right hand,Left-handed people are better at using their left hand,I'm good at playing basketball so I can dribble with my left and right hands skillfully,My left hand was injured a year ago
745,My friend broke up with his girlfriend so I should ridicule him,breaking up with the girlfriend is a shaming things,It is been three months since I broke up with my girlfriend,He would be more sad if his friends laughed at him
746,Something you need to do before you go to bed is turning on the lights,It is not natural to fall asleep in light,I go to bed very early every day to keep health,turning on the lights is wasteful
747,We will be punished for obeying the rules,Every school has rules so we need to abide by them,We are punished for doing something wrong,He was punished for not watching TV for a week
748,I will travel at the work,my work is to teach students,I work day and night to make more money,People should stick to the job at work
749,We cut meat with a ruler,The ruler is not sharp enough,I have three rulers,to finish my homework I need to learn how to use rulers
750,Fisherman depend on farming for their livelihood,Fishermen make a life by fishing,It is hard to farm,farming is so popular this year that many people chosen it as a job
751,People are safe when an earthquake happens,the risk brought by an earthquake is not negligible,We should pay attention to safety,we know that drinking too much is very unsafe
752,We should be close to volcanoes,I live very close to New York,Volcanic eruptions are dangerous,There are many volcanoes in the United States
753,We need to pollute the environment,The river was polluted so all the fish in it died within a month,The quality of the environment is closely related to us,there are many cute animals in the nature
754,you will have a spouse If you get divorced,Couples will break up if they divorce,My father and mother divorced ten years ago,it is a pity to get divorce
755,we need to keep noisy in the museum,people need to appreciate artworks quietly,Every summer I go to museums to enjoy art,this museum is really noisy
756,I went to the restaurant to borrow books,restaurants are the place for eating,This restaurant is very popular among us,There are several restaurants beside the school
757,my mother asks me to play cards in class,my mother attaches much importance to my study,we three brothers often play cards on holidays and sometimes invite me,My mother is in class
758,I drink beer every day to keep healthy,My father drinks beer every day,Alcohol is usually harmful to health,Teenagers are prohibited from drinking
759,you need to fail the exam to get a certification,Only those who pass the exam can get a certification,failing the exam will impel us to study more hard,it is pretty to get a certification
760,we are good friends so we abuse each other,he is my good friend,My boss often abuses his opponents,friends do beneficial things for each other
761,elephants are quite little animals,There are many elephants in Africa,Elephants are very kind to me when I touch them,Elephants are much bigger than people
762,Children need to stay away from books,There are all kinds of books in my family,it is time to study when you are young,I'm a child and I put myself in books every moment
763,traveling the world will narrow your horizon,I love traveling the world on my holiday with my mother,you will learn a lot when traveling the world,this road is too narrow to pass a car
764,We play football in my bedroom,Playing football requires a lot of space,there is a football in my bedroom,My bedroom is very messy because it has not been tidied up for a long time
765,There are few guests in this restaurant because of its perfect food,people want to eat delicious food,There will be many guests in my house at Christmas,Sometimes I go to a restaurant for dinner
766,We should cut in line when there is a queue,cutting in line is a impolite behavior,some people cut in line to save more time,A lot of people are standing in the queue
767,People respect him very much because he is a murderer,murderers always have ugly hearts,He murdered his colleague for a chance to promote,The murderer will be put in prison and spit
768,Time is specific,I have specific reasons to take my time,we cannot touch the time,I have a lot of time to do my homework
769,People can breathe in the water,fish can breathe in the water,we need to drink a lot of water every day,People will drown in the water
770,You can use meat to feed to Sloths,The sloth cannot digest meat,tigers eat meat every day in the zoo,I do not like eating meal
771,he became one of my best friends because he is hypocritical,no one like the hypocritical persons,my mother always asks me not to be too honest,hypocritical people hate each other
772,it is useless to read books every day,copying others' homework is useless to your grades,reading can help you broaden your horizons,I read books every day
773,I am good at swimming because I have always live in the desert,there are usually no place in the desert for me to swim,There are many camels in the desert and they won't teach me swimming,swimming is good for your health
774,the people in cities are usually poorer than the people in the countryside,The population of cities is usually bigger than the countryside,cities usually develop better,There are usually many farmers in the countryside
775,People usually Shed tears during exercising,Exercising is not sad,People get hot when they exercise,Exercise makes people stronger
